name,description,token_image_url,ticker,website_url,webapp_url,contract_url,coingecko_url,llama_url,dune_url,rekt_url,whitepaper_url,github_url,docs_url,twitter_url,discord_url,telegram_url,medium_url,tag1,tag2,tag3,tag4,chain 1,chain 2,chain 3,chain 4,chain 5
Kava,"Kava Chain is a decentralized, permissionless, censorship-resistant blockchain built with the Cosmos SDK. This means it operates much like other Cosmos ecosystem blockchains, and is designed to be interoperable between chains.",https://assets.coingecko.com/coins/images/9761/small/Kava-icon.png?1585636197,KAVA,https://www.kava.io/,https://app.kava.io/,,https://www.coingecko.com/en/coins/kava,https://defillama.com/protocol/kava,,,,https://github.com/Kava-Labs,https://docs.kava.io/,https://twitter.com/kava_platform,,https://t.me/kavalabs,https://medium.com/kava-labs,,,,,,,,,
KEEP Network,"Keep is the privacy-focused infrastructure behind tBTC, the only truly decentralized solution for Bitcoin on Ethereum.",https://assets.coingecko.com/coins/images/3373/small/IuNzUb5b_400x400.jpg?1589526336,KEEP,https://keep.network/,https://dashboard.keep.network/,https://etherscan.io/token/0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,https://www.coingecko.com/en/coins/keep-network,https://defillama.com/protocol/keep-network,https://dune.xyz/projects/keep,,,https://github.com/keep-network,,https://twitter.com/keep_project,https://discord.com/invite/wYezN7v,https://t.me/KeepNetworkOfficial,,,,,,,,,,
Instadapp,The Instadapp protocol ('DSL') acts as the middleware that aggregates multiple DeFi protocols into one upgradable smart contract layer.,https://assets.coingecko.com/coins/images/14688/small/30hFM0-n_400x400.jpg?1617786420,INST,https://instadapp.io/,https://defi.instadapp.io/,https://etherscan.io/token/0x6f40d4A6237C257fff2dB00FA0510DeEECd303eb,https://www.coingecko.com/en/coins/instadapp,https://defillama.com/protocol/instadapp,,,,https://github.com/instadapp,https://docs.instadapp.io/,https://twitter.com/instadapp,https://discord.com/invite/C76CeZc,,,,,,,,,,,
Yearn Finance,"Yearn Finance is a suite of products in Decentralized Finance (DeFi) that provides lending aggregation, yield generation, and insurance on the Ethereum blockchain. The protocol is maintained by various independent developers and is governed by YFI holders.",https://assets.coingecko.com/coins/images/11849/small/yfi-192x192.png?1598325330,YFI,https://yearn.finance/,https://yearn.finance/vaults,https://etherscan.io/token/0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,https://www.coingecko.com/en/coins/yearn-finance,https://defillama.com/protocol/yearn-finance,https://dune.xyz/projects/yearn,,,https://github.com/iearn-finance,https://docs.yearn.finance/,https://twitter.com/iearnfinance,https://discord.com/invite/93PHbB4,https://t.me/yearnfinance,https://medium.com/iearn,,,,,,,,,
Balancer,"Balancer is a multi-token automated market maker (AMM) that functions as a self-balancing weighted portfolio protocol. Balancer is built on the Ethereum network. It allows anyone to create or add liquidity to customizable pools and earn trading fees. Compared to a typical constant product AMM model, Balancer uses a generalization formula that could be adjusted to any number of tokens at any amount of weightage.",https://assets.coingecko.com/coins/images/11683/small/Balancer.png?1592792958,BAL,https://balancer.fi/,https://app.balancer.fi/#/,https://etherscan.io/token/0xba100000625a3754423978a60c9317c58a424e3D,https://www.coingecko.com/en/coins/balancer,https://defillama.com/protocol/balancer,https://dune.xyz/projects/balancer,,https://balancer.fi/whitepaper.pdf,https://github.com/balancer-labs,https://docs.balancer.fi/,https://twitter.com/BalancerLabs,https://discord.com/invite/ARJWaeF,,https://medium.com/balancer-protocol,,,,,,,,,
Synthetix,"Synthetix is the backbone for derivatives trading in DeFi, allowing anyone, anywhere to gain on-chain exposure to a vast range of assets.",https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139,SNX,https://www.synthetix.io/,,https://etherscan.io/token/0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,https://www.coingecko.com/en/coins/synthetix-network-token,https://defillama.com/protocol/synthetix,,,https://docs.synthetix.io/litepaper,https://github.com/Synthetixio,https://docs.synthetix.io/,https://twitter.com/synthetix_io,https://discord.com/invite/AEdUHzt,,,,,,,,,,,
Uniswap,Uniswap facilitates automated transactions between cryptocurrency tokens on the Ethereum blockchain through the use of smart contracts.,https://assets.coingecko.com/coins/images/12504/small/uniswap-uni.png?1600306604,UNI,https://uniswap.org/,https://app.uniswap.org/,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,https://www.coingecko.com/en/coins/uniswap,https://defillama.com/protocol/uniswap,https://dune.xyz/projects/uniswap,,https://uniswap.org/whitepaper-v3.pdf,https://github.com/Uniswap,https://docs.uniswap.org/,https://twitter.com/Uniswap,https://discord.com/invite/FCfyBSbCU5,,,,,,,,,,,
Rari Capital,The Rari Governance Token is the native token behind Rari Capital. Rari Capital is a non-custodial DeFi robo-advisor that autonomously earns users yield.,https://assets.coingecko.com/coins/images/12900/small/Rari_Logo_Transparent.png?1613978014,RGT,https://rari.capital/,https://app.rari.capital/,https://etherscan.io/token/0xD291E7a03283640FDc51b121aC401383A46cC623,https://www.coingecko.com/en/coins/rari-governance-token,https://defillama.com/protocol/rari-capital,,,,https://github.com/Rari-Capital,https://docs.rari.capital/,https://twitter.com/RariCapital,https://discord.com/invite/HzUMPuT,https://t.me/RariCapitalChat,https://raricapital.medium.com/,,,,,,,,,
Bepswap,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakka Finance,Hakka Finance is a Decentralized Autonomous Organization (DAO) aiming to build a suite of Decentralized Finance (DeFi) products.,https://assets.coingecko.com/coins/images/12163/small/Hakka-icon.png?1597746776,HAKKA,https://hakka.finance/,https://hakka.finance/products,https://etherscan.io/token/0x0E29e5AbbB5FD88e28b2d355774e73BD47dE3bcd,https://www.coingecko.com/en/coins/hakka-finance,https://defillama.com/protocol/hakka-finance,,,,https://github.com/hakkafinance,https://hakka-finance.gitbook.io/hakka-wiki/,https://twitter.com/hakkafinance,https://discord.com/invite/zYfqpUQ,https://t.me/hakkafinance,https://hakkafinance.medium.com/,,,,,,,,,
Kyber,Kyber Network is a blockchain-based liquidity hub that connects liquidity from different sources to enable crypto trades at the best rates for any decentralized application.,https://assets.coingecko.com/coins/images/14899/small/RwdVsGcw_400x400.jpg?1618923851,KNC,https://kyber.network/,https://dmm.exchange/,https://etherscan.io/token/0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,https://www.coingecko.com/en/coins/kyber-network-crystal,https://defillama.com/protocol/kyber,https://dune.xyz/projects/kyber,,,https://github.com/kybernetwork,,https://twitter.com/kybernetwork,https://discord.com/invite/NB3vc8J9uv,https://t.me/officialkybernetwork,,,,,,,,,,
SnowSwap,"Snowswap is a decentralized exchange for swapping wrapped, yield-bearing tokens with minimal slippage. Snowswap supports wrapped token swaps for numerous Defi projects including Harvest finance, Yearn, ANKR, and CREAM.",https://assets.coingecko.com/coins/images/12751/small/uQBJL3A.png?1602237225,SNOW,https://snowswap.org/,,https://etherscan.io/token/0xfe9a29ab92522d14fc65880d817214261d8479ae,https://www.coingecko.com/en/coins/snowswap,https://defillama.com/protocol/snowswap,,,,,https://docs.snowswap.org/,https://twitter.com/snow_swap,https://discord.com/invite/CSSJTs4,https://t.me/Snowswap_community,https://medium.com/snowswap,,,,,,,,,
Pickle,Pickle Finance is a Yield Aggregator. It aggregates and compounds yield from other protocols which will save you time and money compared to doing it yourself. ,https://assets.coingecko.com/coins/images/12435/small/pickle_finance_logo.jpg?1599817746,PICKLE,https://www.pickle.finance/,https://app.pickle.finance/,https://etherscan.io/token/0x429881672B9AE42b8EbA0E26cD9C73711b891Ca5,https://www.coingecko.com/en/coins/pickle-finance,https://defillama.com/protocol/pickle,,,,https://github.com/pickle-finance/contracts,https://docs.pickle.finance/,https://twitter.com/picklefinance,https://discord.com/invite/uG6WhYkM8n,,https://picklefinance.medium.com/,,,,,,,,,
UMA Protocol,"UMA is an infrastructure that lets users deploy and trade synthetic assets on Ethereum with minimal use of an on-chain price feed. UMA has positioned itself as the “priceless” derivatives platform and relied on a system of economic incentives. It allows anyone to create collateral-backed synthetic assets on-chain including S&P 500, Gold, Tesla stock, etc. ",https://assets.coingecko.com/coins/images/10951/small/UMA.png?1586307916,UMA,https://umaproject.org/,,https://etherscan.io/token/0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,https://www.coingecko.com/en/coins/uma,https://defillama.com/protocol/uma-protocol,,,,https://github.com/UMAprotocol,https://docs.umaproject.org/,https://twitter.com/UMAprotocol,https://discord.com/invite/jsb9XQJ,,https://medium.com/uma-project,,,,,,,,,
Swerve,"Swerve Finance is described to be a fork of Curve, owned 100% by the community. It is claimed that there's no fake-out deployment, no questionable pre-mining, no founder controlling majority of the governance vote, no suspect team proposals, no 30% allocation to 'shareholders', no team allocation, no decades long distribution. It's a simple 33,000,000 supply owned entirely by holders, the community of liquidity providers and users.",https://assets.coingecko.com/coins/images/12361/small/swerve.png?1599278316,SWRV,,,,https://www.coingecko.com/en/coins/swerve,https://defillama.com/protocol/swerve,,,,https://github.com/SwerveFinance,,https://twitter.com/swervefinance,https://discord.com/invite/vkhw8Av,https://t.me/swervefi,,,,,,,,,,
Flexa,"AMP is a digital collateral token that provides instant, verifiable assurance for any real-world application",https://assets.coingecko.com/coins/images/12409/small/amp-200x200.png?1599625397,AMP,https://amptoken.org/,,https://etherscan.io/token/0xff20817765cb7f73d4bde2e66e067e58d11095c2,https://www.coingecko.com/en/coins/amp,https://defillama.com/protocol/flexa,,,,https://github.com/amptoken,https://docs.amptoken.org/,https://twitter.com/amptoken,https://discord.com/invite/T4EY6yx,https://t.me/ampchat,https://medium.com/amptoken,,,,,,,,,
Curve,Curve is a exchange protocol that provides stablecoin transactions with low slippage.,https://assets.coingecko.com/coins/images/12124/small/Curve.png?1597369484,CRV,https://curve.fi/,,https://etherscan.io/token/0xd533a949740bb3306d119cc777fa900ba034cd52,https://www.coingecko.com/en/coins/curve-dao-token,https://defillama.com/protocol/curve,https://dune.xyz/mrblock_buidl/Curve.fi,,https://curve.fi/whitepaper,https://github.com/curvefi,https://curve.fi/devdocs,https://twitter.com/CurveFinance,https://discord.com/invite/9uEHakc,https://t.me/curvefi,,,,,,,,,,
dYdX,"dYdX is a leading decentralized exchange that currently supports perpetual, margin trading, and spot trading, as well as lending, and borrowing. dYdX runs on smart contracts on the Ethereum blockchain, and allows users to trade with no intermediaries.",https://assets.coingecko.com/coins/images/17500/small/hjnIm9bV.jpg?1628009360,DYDX,https://dydx.exchange/,https://trade.dydx.exchange/,https://etherscan.io/token/0x92D6C1e31e14520e676a687F0a93788B716BEff5,https://www.coingecko.com/en/coins/dydx,https://defillama.com/protocol/dydx,,,,https://github.com/dydxprotocol/,https://docs.dydx.exchange/#general,https://twitter.com/dydxprotocol,https://discord.com/invite/Tuze6tY,,,,,,,,,,,
Nexus Mutual,"Nexus Mutual protocal and token can be used to buy insurance cover, vote on governance decisions, and participate in Risk and Claims Assessments. It is also used to encourage capital provision and represents ownership to the mutual’s capital. As the mutual’s capital pool increases, the value of NXM will increase as well. ",https://assets.coingecko.com/coins/images/11810/small/nexus-mutual.jpg?1594547726,NXM,https://nexusmutual.io/,,https://etherscan.io/token/0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,https://www.coingecko.com/en/coins/nexus-mutual,https://defillama.com/protocol/nexus-mutual,,,https://nexusmutual.io/assets/docs/nmx_white_paperv2_3.pdf,,https://nexusmutual.gitbook.io/docs/users/understanding-nexus-mutual,https://twitter.com/NexusMutual,https://discord.com/invite/xxFaAEn,,https://medium.com/nexus-mutual,,,,,,,,,
Serum,"Serum is a decentralized exchange (DEX) providing high speed and low transaction costs for decentralized finance (DeFi).

Serum is the only high-performant DEX designed around a fully on-chain central limit order book and matching engine. Ecosystem partners can compose with Serum’s on-chain orderbook to share liquidity and power their trading features for institutional and retail users.",https://assets.coingecko.com/coins/images/11970/small/serum-logo.png?1597121577,SRM,https://www.projectserum.com/,https://portal.projectserum.com/#tabSection,,https://www.coingecko.com/en/coins/serum,https://defillama.com/protocol/serum,,,https://assets.website-files.com/61382d4555f82a75dc677b6f/61384a6d5c937269dbed185c_serum_white_paper.88d98f84.pdf,,https://docs.projectserum.com/serum-ecosystem/building-on-our-vision/project-ideas-for-serum,https://twitter.com/projectserum,https://discord.com/invite/bsUTM2h,https://t.me/ProjectSerum,https://projectserum.medium.com/,,,,,,,,,
MakerDAO,"Maker is a smart contract lending platform that enables users to take out loans by locking-in collateral in exchange for Dai. It was founded by the Maker Foundation in 2015 as an open-source project to offer economic freedom and opportunities to anyone, anywhere. In 2017, it launched the Maker governance token (MKR) and its first stablecoin iteration known as the Single Collateral Dai (SAI), which used Ether (ETH) as collateral.",https://assets.coingecko.com/coins/images/1364/small/Mark_Maker.png?1585191826,MKR,https://makerdao.com/en/,https://oasis.app/,https://etherscan.io/token/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,https://www.coingecko.com/en/coins/maker,https://defillama.com/protocol/makerdao,,,https://makerdao.com/en/whitepaper/,https://github.com/makerdao,https://docs.makerdao.com/,https://twitter.com/MakerDAO,,https://t.me/makerdaoOfficial,,,,,,,,,,
Tornado Cash,Tornado Cash is a fully decentralized protocol for private transactions on Ethereum.,https://assets.coingecko.com/coins/images/13496/small/ZINt8NSB_400x400.jpg?1609193407,TORN,https://tornado.cash/,https://tornadocash.eth.link/,https://etherscan.io/token/0x77777feddddffc19ff86db637967013e6c6a116c,https://www.coingecko.com/en/coins/tornado-cash,https://defillama.com/protocol/tornado-cash,https://dune.xyz/poma/tornado-cash_1,,,https://github.com/tornadocash,,https://twitter.com/TornadoCash,https://discord.com/invite/TFDrM8K42j,https://t.me/TornadoCashOfficial,https://tornado-cash.medium.com/,,,,,,,,,
B.Protocol,"B.Protocol is a backstop protocol which BPRO holders govern. Users of the protocol have access to all the benefits of MakerDAO and Compound (soon Aave), with the additional benefit of splitting liquidation proceeds according to proportional usage of the protocol.",https://assets.coingecko.com/coins/images/15110/small/66428641.jpg?1619749844,BPRO,https://bprotocol.org/,https://app.bprotocol.org/app,,https://www.coingecko.com/en/coins/b-protocol,https://defillama.com/protocol/b.protocol,,,,https://github.com/backstop-protocol,,https://twitter.com/bprotocoleth,https://discord.com/invite/bJ4guuw,,https://medium.com/b-protocol,,,,,,,,,
Idle Finance,"Idle is a decentralized yield platform on the Ethereum platform that uses automated rebalancing among DeFi protocols in order to optimize return to for its users. Users are allowed the option to choose between high risk, high return (max yield) or adjust to a lower risk using the RiskAdjusted allocation strategy.",https://assets.coingecko.com/coins/images/13286/small/token-logo.png?1607004948,IDLE,https://idle.finance/#/,https://idle.finance/#/dashboard/best,https://etherscan.io/token/0x875773784af8135ea0ef43b5a374aad105c5d39e,https://www.coingecko.com/en/coins/idle,https://defillama.com/protocol/idle-finance,,,,https://github.com/Idle-Labs/,https://developers.idle.finance/,https://twitter.com/idlefinance,https://discord.com/invite/mpySAJp,https://t.me/idlefinance,https://idlefinance.medium.com/,,,,,,,,,
DeversiFi,,,,,,,,,,,,,,,,,,,,,,,,,,
Augur,"Augur is a trustless, decentralized platform for prediction markets. Augur is an Ethereum-based decentralized prediction market that leverages the wisdom of the crowds to create a search engine for the future that runs on its own token, REP. Augur allows users to create their markets for specific questions they may have and to profit from the trading buys while allowing users to buy positive or negative shares regarding the outcome of a future event.",https://assets.coingecko.com/coins/images/309/small/REP.png?1596339859,REP,https://www.augur.net/,,https://etherscan.io/token/0x221657776846890989a759BA2973e427DfF5C9bB,https://www.coingecko.com/en/coins/augur,https://defillama.com/protocol/augur,,,https://github.com/AugurProject/whitepaper/releases/latest/download/augur-whitepaper-v2.pdf,https://github.com/AugurProject,https://turbo-docs.augur.sh/,https://twitter.com/AugurProject,https://discord.com/invite/aNBTq55,,,,,,,,,,,
CoFiX,CoFiX Dapp is a Token Swap on Ethereum. It provides traders ways get market prices at the smallest spread.,https://assets.coingecko.com/coins/images/12781/small/dnPnSkfa_400x400.png?1602885321,COFI,https://cofix.io/,,https://etherscan.io/token/0x1a23a6BfBAdB59fa563008c0fB7cf96dfCF34Ea1,https://www.coingecko.com/en/coins/cofix,https://defillama.com/protocol/cofix,,,https://github.com/Computable-Finance,https://github.com/Computable-Finance,https://docs.cofix.io/,https://twitter.com/cofixprotocol,,https://t.me/CoFiXProtocol,,,,,,,,,,
KeeperDAO,"KeeperDAO is building a decentralized protocol for Keepers that will help make Ethereum a more secure, egalitarian, and profitable network for all. In the meantime, enjoy their innovative suite of DeFi primitives. Trade, Borrow, and Earn without exposing yourself to predatory MEV bots that roam the Dark Forest that is Ethereum's public mempool.",https://assets.coingecko.com/coins/images/13005/small/keeper_dao_logo.jpg?1604316506,ROOK,https://www.keeperdao.com/,https://app.keeperdao.com/trade,https://etherscan.io/token/0xfa5047c9c78b8877af97bdcb85db743fd7313d4a,https://www.coingecko.com/en/coins/keeperdao,https://defillama.com/protocol/keeperdao,https://dune.xyz/shadow/KeeperDAO,,https://github.com/keeperdao/whitepaper/blob/main/whitepaper.pdf,https://github.com/keeperdao,https://docs.keeperdao.com/reference/,https://twitter.com/Keeper_DAO,https://discord.com/invite/3JUgvyyNhA,,https://medium.com/keeperdao,,,,,,,,,
zLot,zLOT Finance is the a staking protocol built upon Hegic,https://assets.coingecko.com/coins/images/13073/small/z-LOT-logo-transparent.png?1604900416,zLot,https://zlot.finance/,,https://etherscan.io/token/0xA8e7AD77C60eE6f30BaC54E2E7c0617Bd7B5A03E,https://www.coingecko.com/en/coins/zlot,https://defillama.com/protocol/zlot,,,,,,https://twitter.com/zLOTFinance,https://discord.com/invite/m6Q4aQr,,https://zlot.medium.com/,,,,,,,,,
88mph,"88mph is an open-source and non-custodial protocol allowing you to deposit your crypto and earn a fixed yield rate, speculate on future variable yield rates, and be rewarded with different incentives.",https://assets.coingecko.com/coins/images/13137/small/yfU-_Tcj_400x400.png?1605581509,MPH,https://88mph.app/,,https://etherscan.io/token/0x8888801af4d980682e47f1a9036e589479e835c5,https://www.coingecko.com/en/coins/88mph,https://defillama.com/protocol/88mph,,,,https://github.com/88mphapp,https://docs.88mph.app/,https://twitter.com/88mphapp,https://discord.com/invite/QThgeYxDuM,https://t.me/join_88mphapp,https://medium.com/88mphapp,,,,,,,,,
Dracula,"Dracula Protocol is a decentralized finance (DeFi) tool and application that streamlines, aggregates & compounds yield across the leading farming platforms. The application is a one-stop-shop offering a wide spectrum of DeFi yield opportunities, where users save time & money, and maximize their yield farming returns.",https://assets.coingecko.com/coins/images/12758/small/dracula_protocol.png?1602316655,DRC,https://landing.dracula.sucks/,https://app.dracula.sucks/,,https://www.coingecko.com/en/coins/dracula-token,https://defillama.com/protocol/dracula,,,,https://github.com/Dracula-Protocol,https://dracula-protocol.gitbook.io/dracula-protocol,https://twitter.com/DraculaProtocol,https://discord.com/invite/Br6x4rPyVM,https://t.me/DraculaProtocol,https://draculaprotocol.medium.com/,,,,,,,,,
dForce,,https://assets.coingecko.com/coins/images/9709/small/xlGxxIjI_400x400.jpg?1571006794,DF,,,,,,,,,,,,,,,,,,,,,,,
Growth DeFi,,,GRO,,,,,,,,,,,,,,,,,,,,,,,
Alpha Finance,,,ALPHA,,,,,,,,,,,,,,,,,,,,,,,
Compound,,,COMP,,,,,,,,,,,,,,,,,,,,,,,
AAVE,,,AAVE,,,,,,,,,,,,,,,,,,,,,,,
CREAM Finance,,,CREAM,,,,,,,,,,,,,,,,,,,,,,,
SushiSwap,,,SUSHI,,,,,,,,,,,,,,,,,,,,,,,
xDAI Stake,,,STAKE,,,,,,,,,,,,,,,,,,,,,,,
BoringDAO,,,BORING,,,,,,,,,,,,,,,,,,,,,,,
ForTube,,,FOR,,,,,,,,,,,,,,,,,,,,,,,
ValueDefi,,,,,,,,,,,,,,,,,,,,,,,,,,
Cover Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,
TrueFi,,,,,,,,,,,,,,,,,,,,,,,,,,
PieDAO,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,
Basis Cash,,,,,,,,,,,,,,,,,,,,,,,,,,
FinNexus,,,,,,,,,,,,,,,,,,,,,,,,,,
SynLev,,,,,,,,,,,,,,,,,,,,,,,,,,
Index Coop,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger DAO,,,,,,,,,,,,,,,,,,,,,,,,,,
BT.Finance,,,,,,,,,,,,,,,,,,,,,,,,,,
N3RD Finance,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushrooms Finance,,,,,,,,,,,,,,,,,,,,,,,,,,
DefiSaver,,,,,,,,,,,,,,,,,,,,,,,,,,
Bancor,,,,,,,,,,,,,,,,,,,,,,,,,,
DefiChain,,,,,,,,,,,,,,,,,,,,,,,,,,
Varen,,,,,,,,,,,,,,,,,,,,,,,,,,
MANTRA DAO,,,,,,,,,,,,,,,,,,,,,,,,,,
Lido,,,,,,,,,,,,,,,,,,,,,,,,,,
Wing Finance,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuse,,,,,,,,,,,,,,,,,,,,,,,,,,
WanSwap Dex,,,,,,,,,,,,,,,,,,,,,,,,,,
Unagii,,,,,,,,,,,,,,,,,,,,,,,,,,
Indexed Finance,,,,,,,,,,,,,,,,,,,,,,,,,,
1inch,,,,,,,,,,,,,,,,,,,,,,,,,,
dHEDGE,,,,,,,,,,,,,,,,,,,,,,,,,,
Opium,,,,,,,,,,,,,,,,,,,,,,,,,,
Governor DAO,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,
PancakeSwap,,,,,,,,,,,,,,,,,,,,,,,,,,
DODO,,,,,,,,,,,,,,,,,,,,,,,,,,
bZx,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddle Finance,,,,,,,,,,,,,,,,,,,,,,,,,,
Siren,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemix,,,,,,,,,,,,,,,,,,,,,,,,,,
Goose Finance,,,,,,,,,,,,,,,,,,,,,,,,,,
xToken,,,,,,,,,,,,,,,,,,,,,,,,,,
Unslashed,,,,,,,,,,,,,,,,,,,,,,,,,,
ACryptoS,,,,,,,,,,,,,,,,,,,,,,,,,,
Autofarm,,,,,,,,,,,,,,,,,,,,,,,,,,
yAxis,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoothy,,,,,,,,,,,,,,,,,,,,,,,,,,
Venus,,,,,,,,,,,,,,,,,,,,,,,,,,
