article_id,title,article_url,tag1,tag2,tag3,tag4,tag5
32,What are Options Contracts Binance,https://academy.binance.com/en/articles/what-are-options-contracts,options,centralised-exchange,intermediate,article,education
33,Primer on basic option strategies - Deribit position builder,https://insights.deribit.com/market-research/deribit-position-builder-primer-on-basic-option-strategies/,options,,intermediate,article,education
34,SoK: Decentralized Exchanges (DEX) withAutomated Market Maker (AMM) protocols,https://arxiv.org/pdf/2103.12732.pdf,amm,,advanced,whitepaper,education
35,Oracles from the Ground Truth to Market Manipulation,https://arxiv.org/pdf/2106.00667.pdf,oracles,,advanced,whitepaper,education
36,CIA Officer - twitter thread,https://twitter.com/officer_cia/status/1418018953742409738,oracles,,,tweet,education
37,A Quick Introduction to Yield Farming,https://unmaskcrypto.com/learnings/yield-farming,Yield,,,article,education
38,"Where does yield come from, anyway?",https://juliankoh.medium.com/where-does-yield-come-from-anyway-fc818c114bd5,Yield,,,article,education
39,Nick Chong thread on yield,https://twitter.com/n2ckchong/status/1390494848478683136,Yield,,,tweet,education
40,What is 0x,https://www.youtube.com/watch?v=c04eIt3FQ5I,DEX,,,video,education
41,Decentralised exchanges,https://www.wikiwand.com/en/Decentralized_exchange,DEX,,,wikipedia,education
42,What is a decentralised exchange,https://academy.binance.com/en/articles/what-is-a-decentralized-exchange-dex,DEX,,,article,education
43,dydx,https://www.youtube.com/watch?v=PGE1uoiZTmM,DEX,,,video,education
44,what are the risks of defi lending? ,https://ethereum.stackexchange.com/questions/92272/what-are-the-risks-of-defi-lending,lending,,,article,education
45,aave whitepaper,https://github.com/aave/protocol-v2/blob/master/aave-v2-whitepaper.pdf,lending,,advanced,whitepaper,education
46,compound whitepaper,https://compound.finance/documents/Compound.Whitepaper.pdf,lending,,advanced,whitepaper,education
47,vicyn impermanent loss calculator,https://vicyyn.com/,lending,,,tool,education
48,UNISWAP: Impermanent Loss and Risk Profile of a Liquidity Provider,https://arxiv.org/pdf/2106.14404.pdf,lending,,advanced,whitepaper,education
49,MINER EXTRACTABLE VALUE (MEV),https://ethereum.org/en/developers/docs/mev/,mev,,,article,education
50,Flashbots: Frontrunning the MEV Crisis,https://medium.com/flashbots/frontrunning-the-mev-crisis-40629a613752,mev,,,article,education
51,flashbots github,https://github.com/flashbots/pm,mev,developer,,github,education
