resource_id,resource_title,resource_url,tag1,tag2,tag3,tag4,tag5
69,The Crypto Climate Revolution,https://medium.com/@themantis/the-crypto-climate-revolution-why-a-technology-condemned-by-environmentalists-may-become-a-key-e9ea7313587d,,,,,link,
70,How to make a jump from Web2 hacking to Web3 hacking,https://twitter.com/adrianhetman/status/1475550508354093072,developer,beginner,intermediate,tweet,link,
71,Yul (and Some Solidity) Optimizations and Tricks,https://hackmd.io/@gn56kcRBQc6mOi7LCgbv1g/rJez8O8st,developer,yul,solidity,article,link,
72,Layer 2 rollups,https://ethereum.org/en/developers/docs/scaling/layer-2-rollups/,layer 2,rollups,intermediate,article,link,
73,defi derivatives,https://github.com/0xperp/defi-derivatives,,,,,link,
74,How to survive in crypto,https://www.youtube.com/watch?v=udgu2O3MZ-Q,,,,video,link,
75,Known Physical Bitcoin Attacks,https://github.com/jlopp/physical-bitcoin-attacks/blob/master/README.md,security,bad-things,,github,link,
76,Yearn DeFi glossary,https://docs.yearn.finance/resources/defi-glossary,defi,,,,link,
77,Casual code review of metamask's crypto,https://blog.cryptographyengineering.com/2022/01/14/an-extremely-casual-code-review-of-metamasks-crypto/,security,,,,link,
78,A thread on punk sandwiches,https://twitter.com/bertcmiller/status/1482086447775580161,nft,security,,tweet,link,
79,Kuro's bridging spreadsheet,https://docs.google.com/spreadsheets/d/1jYZOfU2R3PdzRmnY9Nfc4pzerX_YSInNdyhtSj_3oWY/htmlview,,,,,link,
80,Assessing Risk in Decentralized Finance,https://www.moodysanalytics.com/articles/2021/block_by_block_assessing_risk_in_decentralized_finance,risk,defi,,article,link,
81,"What is risk, who bears risk, and how could we think about risk in DeFi?",https://twitter.com/nope_its_lily/status/1483556375028387840,risk,defi,,tweet,link,
82,Uniswap: A Good Deal for Liquidity Providers?,https://pintail.medium.com/uniswap-a-good-deal-for-liquidity-providers-104c0b6816f2,,,,,link,
83,an AMM koan,https://twitter.com/_Dave__White_/status/1318307774674006016,amm,lp,divergence-loss,tweet,link,
84,vimpermanent loss calculator,https://dailydefi.org/tools/impermanent-loss-calculator/,amm,lp,divergence-loss,tool,link,
